date,year,month,season,NDVI_mean,NDWI_mean,rainfall_mean_mm_per_day,rainfall_total_mm,temp_max_c,temp_mean_c,temp_min_c,soil_moisture_0_7cm,soil_moisture_7_28cm,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,landcover_total_km2,coverage_quality,data_quality_flag,year_to_date,ndvi_baseline,ndwi_baseline,rainfall_baseline_mm,temperature_baseline_c,soil_moisture_0_7cm_baseline,soil_moisture_7_28cm_baseline,ndvi_anomaly,ndwi_anomaly,ndvi_change_monthly,ndwi_change_monthly,rainfall_anomaly_mm,temperature_anomaly_c,soil_moisture_0_7cm_anomaly,soil_moisture_7_28cm_anomaly,soil_moisture_change,risk_score,risk_level,main_risk_reason,recommended_action
2022-01-01,2022,1,Winter,0.40237402716801135,-0.4109685538184802,1.7200837051569056,53.3225949063545,22.732500265191433,12.400485752418307,4.073155701564793,0.19805738557878527,0.18423626622209288,45895.86914702982,13507.517593754805,111033.08604350423,1162.5623502184862,188.1249650157054,7936.955315739051,2081.2876697863176,11121.097509385738,3545.7247817954453,196472.225376,moderate,,False,0.373141,-0.391773,20.014,12.373,0.138545,0.155460,0.029233,-0.019196,,,33.309,0.027,0.059512,0.028777,,0.03,Low,NDWI below baseline,No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-02-01,2022,2,Winter,0.4304330010337577,-0.4431621358395508,0.31016642805726413,8.684659989081291,26.82720712726436,15.767755966790464,5.732997395223361,0.15249243885583824,0.1760081103065344,46872.91279428968,16810.88708981116,122600.67369558303,232.50377748154818,92.70540949090461,9049.817410694806,1225.259256177778,4838.459766129019,3129.7153488369618,204852.934548,good,,False,0.435533,-0.456331,15.589,16.705,0.139345,0.159161,-0.005100,0.013169,0.028059,-0.032194,-6.905,-0.938,0.013147,0.016847,-0.045565,0.23,Low,rainfall 56% of normal,No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-03-01,2022,3,Spring,0.40150216427182417,-0.43449294644434805,0.527821944719739,16.36248028424484,37.302193552868964,24.25022625943703,10.346537516002337,0.13915360863514117,0.1650181271415234,49046.38602781629,17884.42318442764,119596.80147630727,97.81066252293215,60.851925419496844,10361.877607523735,0.0666231318359375,5216.808252122269,2927.4169502797,205192.442710,good,,False,0.415226,-0.443294,26.161,22.053,0.148366,0.164179,-0.013724,0.008801,-0.028931,0.008669,-9.798,2.197,-0.009212,0.000839,-0.013339,0.33,Low,rainfall 63% of normal,No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-04-01,2022,4,Spring,0.2397063697125268,-0.3363994212621958,0.22229815573599884,6.668944673530443,42.78111221058671,30.841696637479508,17.488896855937483,0.09699528065663558,0.13308231149817387,61612.61873526309,14963.771907049962,112148.91054942044,40.511553052282494,28.872679582977174,9421.577555436983,0.059526294921875,4297.148362108926,2678.9718413341625,205192.442710,good,,False,0.259203,-0.340424,14.981,28.158,0.126788,0.154427,-0.019496,0.004025,-0.161796,0.098094,-8.312,2.684,-0.029793,-0.021344,-0.042158,0.57,Medium,rainfall 45% of normal,Monitor water reserves; schedule supplemental irrigation if dryness persists.
2022-05-01,2022,5,Spring,0.19227676326018453,-0.2878809884566003,0.17575811621879509,5.448501602606419,45.355260944160584,33.97868757069211,22.167439770887285,0.09639111973641061,0.12709738773160234,102124.37604369436,16363.204600770685,73838.23071734303,24.16899689668353,8.896339182333794,7170.039513621263,0.0609223095703125,2943.125490311528,2720.3400854533206,205192.442710,good,,False,0.204418,-0.287705,17.567,32.572,0.114267,0.139210,-0.012142,-0.000176,-0.047430,0.048518,-12.118,1.407,-0.017876,-0.012112,-0.000604,0.44,Medium,rainfall 31% of normal,Monitor water reserves; schedule supplemental irrigation if dryness persists.
2022-06-01,2022,6,Summer,0.2096962279220161,-0.28660879819202384,1.1930345900983248,35.791037713648976,44.213453588289696,33.759263086326094,21.61534882058968,0.13397403282102718,0.15222476154190467,103389.93463920726,13603.021405422996,75036.99245203144,21.42958167462851,16.16719297300858,7501.16881983516,0.18092640722656253,2309.248508500658,3314.2991835285507,205192.442710,good,,False,0.219010,-0.287480,39.293,34.254,0.123537,0.146083,-0.009314,0.000871,0.017419,0.001272,-3.502,-0.495,0.010437,0.006142,0.037583,0.08,Low,NDVI below baseline (96% of normal),No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-07-01,2022,7,Summer,0.26291995340587654,-0.27017346457467545,6.441615434699463,199.69007846168122,38.62637553844825,30.393095993665664,25.049605770849563,0.2798113574793085,0.264489584110947,45425.458000634746,9482.808666458555,19145.968852933744,328.36251084050673,1106.073357634014,1746.500874123685,171.32418412046954,9408.886879573045,8873.377356313078,95688.760683,poor,,False,0.275665,-0.299969,159.209,32.131,0.215099,0.211268,-0.012745,0.029795,0.053224,0.016435,40.481,-1.738,0.064712,0.053222,0.145837,0.06,Low,NDVI below baseline (95% of normal),No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-08-01,2022,8,Summer,0.3709689373238549,-0.35904705624038397,3.564678108072144,110.50502127835134,36.93562974574417,29.561126007223468,24.24415088339363,0.2734911689395128,0.2875750193088086,39903.286312408905,18653.652814712674,66810.33342698574,860.434022400592,1983.4955922038384,7127.43166662643,114.45457873782152,16345.144718927257,11128.176770262126,162926.409903,poor,,False,0.359558,-0.360448,116.342,30.787,0.227124,0.241602,0.011411,0.001401,0.108049,-0.088874,-5.837,-1.226,0.046367,0.045973,-0.006320,0.07,Low,NDWI decline vs seasonal norm,No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-09-01,2022,9,Summer,0.3880921183892133,-0.39783520406552064,1.2166402114561226,36.499206360108026,37.295373281285684,30.30887410870022,22.89516103496819,0.1519850790501925,0.1999917251109494,44704.78082203467,42446.65640656507,81149.0650531595,571.0840881123985,458.1416828762422,8115.871046591494,2.538527315429687,22019.586187328267,5446.906975087174,204914.630789,good,,False,0.392313,-0.404507,44.701,30.476,0.170083,0.206564,-0.004221,0.006672,0.017123,-0.038788,-8.202,-0.167,-0.018098,-0.006572,-0.121506,0.19,Low,"soil moisture below baseline (0-7 cm, 0.152 vs 0.170 m3/m3)",No immediate action; conditions near seasonal normal - continue routine monitoring.
2022-10-01,2022,10,Autumn,0.33810049481221827,-0.39385075300951394,0.060545355701040166,1.8769060273596856,36.21990091576506,26.048584443631764,16.11727366340749,0.10816759602065301,0.1548479770954942,41161.376531902155,33027.56306918282,105651.72063811762,273.7973198074298,124.63868699870177,9233.84107459769,0.05876590039062501,11895.570416457871,3823.876206577911,205192.442710,good,,False,0.338652,-0.387453,7.380,26.303,0.128563,0.165166,-0.000551,-0.006397,-0.049992,0.003984,-5.503,-0.255,-0.020396,-0.010318,-0.043817,0.33,Low,rainfall 25% of normal,No immediate action; conditions near seasonal normal - continue routine monitoring.
